Block,FIX,FixMarkerNonTarget,FixMarkerTarget,ITI,ITIMarkerNonTarget,ITIMarkerTarget,StimDuration,StimMarkerNonTarget,StimMarkerTarget,Subject,TaskDescription,TrialNum,hasResponse,isTarget,nonTargetKey,targetKey,time_ITI,time_memset
1,0,40,50,1.49710678128019,42,52,1,41,51,901,Oddball_Task,1,0,0,m,c,13291.8776085913,13293.3935755989
1,0,40,50,1.4787464229185,42,52,1,41,51,901,Oddball_Task,2,0,0,m,c,13294.4429505368,13295.9426086375
1,0,40,50,1.41580095214504,42,52,1,41,51,901,Oddball_Task,3,0,1,m,c,13296.9920127975,13298.4249742301
1,0,40,50,1.59131611667247,42,52,1,41,51,901,Oddball_Task,4,0,1,m,c,13299.4911337948,13301.0906086725
1,0,40,50,1.46862921370508,42,52,1,41,51,901,Oddball_Task,5,0,0,m,c,13302.1400297815,13303.6229736808
1,0,40,50,1.51112267738595,42,52,1,41,51,901,Oddball_Task,6,0,0,m,c,13304.6723895297,13306.205322909
1,0,40,50,1.55753870932271,42,52,1,41,51,901,Oddball_Task,7,0,0,m,c,13307.2548235022,13308.8209368959
1,0,40,50,1.56721048533174,42,52,1,41,51,901,Oddball_Task,8,0,0,m,c,13309.8704485935,13311.4533489518
1,0,40,50,1.40308953164926,42,52,1,41,51,901,Oddball_Task,9,0,0,m,c,13312.5028445772,13313.9190856718
1,0,40,50,1.42169161546616,42,52,1,41,51,901,Oddball_Task,10,0,1,m,c,13314.9685424317,13316.4014930521
1,0,40,50,1.46674505089138,42,52,1,41,51,901,Oddball_Task,11,0,1,m,c,13317.4510608563,13318.9338516315
1,0,40,50,1.46218165230067,42,52,1,41,51,901,Oddball_Task,12,0,1,m,c,13319.9832978715,13321.4662178086
1,0,40,50,1.53662236921487,42,52,1,41,51,901,Oddball_Task,13,0,0,m,c,13322.5158160038,13324.0652388661
1,0,40,50,1.45305560089924,42,52,1,41,51,901,Oddball_Task,14,0,0,m,c,13325.1146371817,13326.5809247395
1,0,40,50,1.52526033433505,42,52,1,41,51,901,Oddball_Task,15,0,0,m,c,13327.6304814392,13329.1800247546
1,0,40,50,1.59134072131933,42,52,1,41,51,901,Oddball_Task,16,0,1,m,c,13330.2294902234,13331.8455857916
1,0,40,50,1.58223848576804,42,52,1,41,51,901,Oddball_Task,17,0,0,m,c,13332.9117161341,13334.511233384
1,0,40,50,1.42766554338248,42,52,1,41,51,901,Oddball_Task,18,0,0,m,c,13335.5608771658,13337.0102898003
1,0,40,50,1.54086245952148,42,52,1,41,51,901,Oddball_Task,19,0,0,m,c,13338.0596717515,13339.6092857267
1,0,40,50,1.41556568031776,42,52,1,41,51,901,Oddball_Task,20,0,0,m,c,13340.6589449963,13342.0917050882
1,0,40,50,1.56929538718453,42,52,1,41,51,901,Oddball_Task,21,0,0,m,c,13343.1578973817,13344.7406788057
1,0,40,50,1.42393423150082,42,52,1,41,51,901,Oddball_Task,22,0,0,m,c,13345.7902556688,13347.2230674839
1,0,40,50,1.5494035393149,42,52,1,41,51,901,Oddball_Task,23,0,1,m,c,13348.2893518273,13349.8553608978
1,0,40,50,1.55645319443259,42,52,1,41,51,901,Oddball_Task,24,0,1,m,c,13350.90481532,13352.4710210557
1,0,40,50,1.58150105481395,42,52,1,41,51,901,Oddball_Task,25,0,0,m,c,13353.5372761769,13355.1366835514
1,0,40,50,1.4204559110485,42,52,1,41,51,901,Oddball_Task,26,0,0,m,c,13356.2030118198,13357.6357291555
1,0,40,50,1.55461959400788,42,52,1,41,51,901,Oddball_Task,27,0,1,m,c,13358.6852785498,13360.2513776246
1,0,40,50,1.40408435229903,42,52,1,41,51,901,Oddball_Task,28,0,0,m,c,13361.3009188366,13362.7170737258
1,0,40,50,1.42172925404548,42,52,1,41,51,901,Oddball_Task,29,0,0,m,c,13363.7833826157,13365.2161584876
1,0,40,50,1.43359457168392,42,52,1,41,51,901,Oddball_Task,30,0,0,m,c,13366.2822797712,13367.7318545888
